"ntTitle","ntDec","result","tDec","tTitle"
"Efficacy and safety of topiramate on weight loss: a meta-analysis of randomized controlled trials","Exclude","","Exclude","Efficacy and safety of topiramate on weight loss: a meta-analysis of randomized controlled trials"
"Analysis of the validation status of quality of life and functional disability measures in pulmonary arterial hypertension related to systemic sclerosis: results of a systematic literature analysis by the expert panel on outcomes measures in pulmonary arterial hypertension related to systemic sclerosis (EPOSS)","Exclude","",,
"Meta-analysis of statin effects in women versus men","Exclude","","Exclude","Meta-analysis of statin effects in women versus men"
"Remifentanil for general anaesthesia: a systematic review","Exclude","","Exclude","Remifentanil for general anaesthesia: a systematic review"
"Dietary supplements for the prevention and treatment of coronary artery disease","Exclude","","Exclude","Dietary supplements for the prevention and treatment of coronary artery disease"
"Steroid avoidance or withdrawal after renal transplantation increases the risk of acute rejection but decreases cardiovascular risk: a meta-analysis","Exclude","","Exclude","Steroid avoidance or withdrawal after renal transplantation increases the risk of acute rejection but decreases cardiovascular risk: a meta-analysis"
"A systematic review of motivational interviewing in physical health care settings","Exclude","","Exclude","A systematic review of motivational interviewing in physical health care settings"
"Cardiopulmonary physiotherapeutic applications of taiji","Exclude","","Exclude","Cardiopulmonary physiotherapeutic applications of taiji"
"Patent foramen ovale closure and medical treatments for secondary stroke prevention: a systematic review of observational and randomized evidence","Exclude","","Exclude","Patent foramen ovale closure and medical treatments for secondary stroke prevention: a systematic review of observational and randomized evidence"
"Meta-analysis of adverse cardiovascular events associated with echocardiographic contrast agents","Exclude","","Exclude","Meta-analysis of adverse cardiovascular events associated with echocardiographic contrast agents"
"Oral contraceptives use and the risk of myocardial infarction: a meta-analysis","Exclude","","Exclude","Oral contraceptives use and the risk of myocardial infarction: a meta-analysis"
"Systematic review: diagnostic procedures to differentiate unilateral from bilateral adrenal abnormality in primary aldosteronism","Exclude","","Exclude","Systematic review: diagnostic procedures to differentiate unilateral from bilateral adrenal abnormality in primary aldosteronism"
"Optimal timing of coronary angiography and potential intervention in non-ST-elevation acute coronary syndromes","Exclude","","Exclude","Optimal timing of coronary angiography and potential intervention in non-ST-elevation acute coronary syndromes"
"Meta-analysis comparing drug-eluting stents with bare metal stents","Exclude","","Exclude","Meta-analysis comparing drug-eluting stents with bare metal stents"
"Risks associated with statin therapy: a systematic overview of randomized clinical trials","Exclude","","Exclude","Risks associated with statin therapy: a systematic overview of randomized clinical trials"
"Intravenous glycoprotein IIb/IIIa receptor antagonists reduce mortality after percutaneous coronary interventions","Exclude","","Exclude","Intravenous glycoprotein IIb/IIIa receptor antagonists reduce mortality after percutaneous coronary interventions"
"Combination endoscopic band ligation and sclerotherapy compared with endoscopic band ligation alone for the secondary prophylaxis of esophageal variceal hemorrhage: a meta-analysis","Exclude","","Exclude","Combination endoscopic band ligation and sclerotherapy compared with endoscopic band ligation alone for the secondary prophylaxis of esophageal variceal hemorrhage: a meta-analysis"
"Thyroid hormone therapy for obesity and nonthyroidal illnesses: a systematic review","Exclude","","Exclude","Thyroid hormone therapy for obesity and nonthyroidal illnesses: a systematic review"
"Isolated disease of the proximal left anterior descending artery. Comparing the effectiveness of percutaneous coronary interventions and coronary artery bypass surgery","Exclude","","Exclude","Isolated disease of the proximal left anterior descending artery. Comparing the effectiveness of percutaneous coronary interventions and coronary artery bypass surgery"
"The impact of suppressing the renin-angiotensin system on atrial fibrillation","Exclude","","Exclude","The impact of suppressing the renin-angiotensin system on atrial fibrillation"
"Comparison of drug-eluting stents with bare metal stents in patients with ST-segment elevation myocardial infarction","Exclude","","Exclude","Comparison of drug-eluting stents with bare metal stents in patients with ST-segment elevation myocardial infarction"
"Effectiveness and safety of drug-eluting stents in vein grafts: a meta-analysis","Exclude","","Exclude","Effectiveness and safety of drug-eluting stents in vein grafts: a meta-analysis"
"Long-term changes in blood pressure following orlistat and sibutramine treatment: a meta-analysis","Exclude","","Exclude","Long-term changes in blood pressure following orlistat and sibutramine treatment: a meta-analysis"
"Timing of early invasive intervention in patients with moderate to high risk acute coronary syndromes","Exclude","","Exclude","Timing of early invasive intervention in patients with moderate to high risk acute coronary syndromes"
"Combination therapy with an ACE inhibitor and an angiotensin receptor blocker for diabetic nephropathy: a meta-analysis","Exclude","","Exclude","Combination therapy with an ACE inhibitor and an angiotensin receptor blocker for diabetic nephropathy: a meta-analysis"
"Addition of cilostazol to aspirin and a thienopyridine for prevention of restenosis after coronary artery stenting: a meta-analysis","Exclude","","Exclude","Addition of cilostazol to aspirin and a thienopyridine for prevention of restenosis after coronary artery stenting: a meta-analysis"
"Meta-analysis of the effect of radiofrequency catheter ablation on left atrial size, volumes and function in patients with atrial fibrillation","Exclude","",,
"Off-pump coronary artery bypass in patients with left ventricular dysfunction: a meta-analysis","Exclude","","Exclude","Off-pump coronary artery bypass in patients with left ventricular dysfunction: a meta-analysis"
"A meta-analysis of randomized controlled trials appraising the efficacy and safety of cilostazol after coronary artery stent implantation","Exclude","","Exclude","A meta-analysis of randomized controlled trials appraising the efficacy and safety of cilostazol after coronary artery stent implantation"
"Meta-analysis of three randomized trials and nine observational studies comparing drug-eluting stents versus coronary artery bypass grafting for unprotected left main coronary artery disease","Exclude","","Exclude","Meta-analysis of three randomized trials and nine observational studies comparing drug-eluting stents versus coronary artery bypass grafting for unprotected left main coronary artery disease"
"The effect of dyslipidemic drugs on mortality: a meta-analysis","Exclude","","Exclude","The effect of dyslipidemic drugs on mortality: a meta-analysis"
"Continuing uncertainty about the value of percutaneous revascularization in atherosclerotic renovascular disease: a meta-analysis of randomized trials","Exclude","","Exclude","Continuing uncertainty about the value of percutaneous revascularization in atherosclerotic renovascular disease: a meta-analysis of randomized trials"
"Glucocorticoids in systemic sclerosis: weighing up the benefits and risks – a systematic review","Exclude","",,
"The efficacy of landiolol for suppressing the hyperdynamic response following laryngoscopy and tracheal intubation: a systematic review","Exclude","","Exclude","The efficacy of landiolol for suppressing the hyperdynamic response following laryngoscopy and tracheal intubation: a systematic review"
"Risk indices associated with the insulin resistance syndrome, cardiovascular disease, and possible protection with yoga: a systematic review","Exclude","","Exclude","Risk indices associated with the insulin resistance syndrome, cardiovascular disease, and possible protection with yoga: a systematic review"
"Rituximab in lymphoma","Exclude","","Exclude","Rituximab in lymphoma"
"Changes in body weight and serum lipid profile in obese patients treated with orlistat in addition to a hypocaloric diet: a systematic review of randomized clinical trials","Exclude","","Exclude","Changes in body weight and serum lipid profile in obese patients treated with orlistat in addition to a hypocaloric diet: a systematic review of randomized clinical trials"
"Angiotensin-converting enzyme inhibitors and angiotensin receptor blockers decrease the incidence of atrial fibrillation: a meta-analysis","Exclude","","Exclude","Angiotensin-converting enzyme inhibitors and angiotensin receptor blockers decrease the incidence of atrial fibrillation: a meta-analysis"
"Resting heart rate changes after endurance training in older adults: a meta-analysis","Exclude","","Exclude","Resting heart rate changes after endurance training in older adults: a meta-analysis"
"Controlled endurance exercise training and VO2max changes in older adults: a meta-analysis","Exclude","","Exclude","Controlled endurance exercise training and VO2max changes in older adults: a meta-analysis"
"Does performance-based remuneration for individual health care practitioners affect patient care? A systematic review","Exclude","","Exclude","Does performance-based remuneration for individual health care practitioners affect patient care? A systematic review"
"A meta-analysis of randomized controlled trials comparing coronary artery bypass graft with percutaneous transluminal coronary angioplasty: one- to eight-year outcomes","Exclude","","Exclude","A meta-analysis of randomized controlled trials comparing coronary artery bypass graft with percutaneous transluminal coronary angioplasty: one- to eight-year outcomes"
"Meta-analysis of inhaled nitric oxide in premature infants: an update","Exclude","","Exclude","Meta-analysis of inhaled nitric oxide in premature infants: an update"
"The impact of renin-angiotensin-aldosterone system inhibitors on Type 1 and Type 2 diabetic patients with and without early diabetic nephropathy","Exclude","","Exclude","The impact of renin-angiotensin-aldosterone system inhibitors on Type 1 and Type 2 diabetic patients with and without early diabetic nephropathy"
"Age-dependent values of N-terminal pro-B-type natriuretic peptide are superior to a single cut-point for ruling out suspected systolic dysfunction in primary care","Exclude","","Exclude","Age-dependent values of N-terminal pro-B-type natriuretic peptide are superior to a single cut-point for ruling out suspected systolic dysfunction in primary care"
"Retropharyngeal hematoma after stellate ganglion block: analysis of 27 patients reported in the literature","Exclude","","Exclude","Retropharyngeal hematoma after stellate ganglion block: analysis of 27 patients reported in the literature"
"Prevention of atrial fibrillation with angiotensin-converting enzyme inhibitors and angiotensin receptor blockers: a meta-analysis","Exclude","","Exclude","Prevention of atrial fibrillation with angiotensin-converting enzyme inhibitors and angiotensin receptor blockers: a meta-analysis"
"Body composition and quality of life in adults treated with GH therapy: a systematic review and meta-analysis","Exclude","","Exclude","Body composition and quality of life in adults treated with GH therapy: a systematic review and meta-analysis"
"A systematic review and meta-analysis of pharmacist-led fee-for-services medication review","Exclude","","Exclude","A systematic review and meta-analysis of pharmacist-led fee-for-services medication review"
"Benefits and harms of treating gestational diabetes mellitus: a systematic review and meta-analysis for the US Preventive Services Task Force and National Institutes of Health Office of Medical Applications of Research","Exclude","",,
"Medication as a risk factor for falls: critical systematic review","Exclude","","Exclude","Medication as a risk factor for falls: critical systematic review"
"Systematic review, meta-analysis and regression of randomised controlled trials reporting an association between an intake of circa 25 g soya protein per day and blood cholesterol","Exclude","","Exclude","Systematic review, meta-analysis and regression of randomised controlled trials reporting an association between an intake of circa 25 g soya protein per day and blood cholesterol"
"Long-term effect of chronic oral anticoagulation with warfarin after acute myocardial infarction","Exclude","","Exclude","Long-term effect of chronic oral anticoagulation with warfarin after acute myocardial infarction"
"Increased risk of serious hemorrhage with bevacizumab in cancer patients: a meta-analysis","Exclude","",,
"Risk of gastrointestinal perforation in patients with cancer treated with bevacizumab: a meta-analysis","Exclude","",,
"Clopidogrel 150 vs 75 mg/day in patients undergoing percutaneous coronary intervention: a meta-analysis","Exclude","","Exclude","Clopidogrel 150 vs 75 mg/day in patients undergoing percutaneous coronary intervention: a meta-analysis"
"Meta-analysis of the role of high-dose statins administered prior to percutaneous coronary intervention in reducing major adverse cardiac events in patients with coronary artery disease","Exclude","","Exclude","Meta-analysis of the role of high-dose statins administered prior to percutaneous coronary intervention in reducing major adverse cardiac events in patients with coronary artery disease"
"Effectiveness of providing financial incentives to healthcare professionals for smoking cessation activities: systematic review","Exclude","","Exclude","Effectiveness of providing financial incentives to healthcare professionals for smoking cessation activities: systematic review"
"Dipyridamole plus aspirin versus aspirin alone in secondary prevention after TIA or stroke: a meta-analysis by risk","Exclude","","Exclude","Dipyridamole plus aspirin versus aspirin alone in secondary prevention after TIA or stroke: a meta-analysis by risk"
"Provisional vs complex stenting strategy for coronary bifurcation lesions: meta-analysis of randomized trials","Exclude","","Exclude","Provisional vs complex stenting strategy for coronary bifurcation lesions: meta-analysis of randomized trials"
"Safety and efficacy of drug eluting stents compared with bare metal stents for saphenous vein graft interventions: a comprehensive meta-analysis of randomized trials and observational studies comprising 7,994 patients","Exclude","","Exclude","Safety and efficacy of drug eluting stents compared with bare metal stents for saphenous vein graft interventions: a comprehensive meta-analysis of randomized trials and observational studies comprising 7,994 patients"
"The impact of continuous positive airway pressure on blood pressure in patients with obstructive sleep apnea syndrome: evidence from a meta-analysis of placebo-controlled randomized trials","Exclude","","Exclude","The impact of continuous positive airway pressure on blood pressure in patients with obstructive sleep apnea syndrome: evidence from a meta-analysis of placebo-controlled randomized trials"
"Statins and intracerebral hemorrhage: collaborative systematic review and meta-analysis","Exclude","","Exclude","Statins and intracerebral hemorrhage: collaborative systematic review and meta-analysis"
"Influence of noninvasive cardiovascular imaging in primary prevention: systematic review and meta-analysis of randomized trials","Exclude","",,
"The effect of lifestyle modification and cardiovascular risk factor reduction on erectile dysfunction: a systematic review and meta-analysis","Exclude","",,
"The efficacy of pharmacotherapy for decreasing the expansion rate of abdominal aortic aneurysms: a systematic review and meta-analysis","Exclude","","Exclude","The efficacy of pharmacotherapy for decreasing the expansion rate of abdominal aortic aneurysms: a systematic review and meta-analysis"
"Intravenous magnesium prevents atrial fibrillation after coronary artery bypass grafting: a meta-analysis of 7 double-blind, placebo-controlled, randomized clinical trials","Exclude","","Exclude","Intravenous magnesium prevents atrial fibrillation after coronary artery bypass grafting: a meta-analysis of 7 double-blind, placebo-controlled, randomized clinical trials"
"Effect on health-related outcomes of interventions to alter the interaction between patients and practitioners: a systematic review of trials","Exclude","","Exclude","Effect on health-related outcomes of interventions to alter the interaction between patients and practitioners: a systematic review of trials"
"Clopidogrel and modified-release dipyridamole for the prevention of occlusive vascular events (review of technology appraisal no.90): a systematic review and economic analysis","Exclude","","Exclude","Clopidogrel and modified-release dipyridamole for the prevention of occlusive vascular events (review of technology appraisal no.90): a systematic review and economic analysis"
"Meditation programs for psychological stress and well-being: a systematic review and meta-analysis","Exclude","","Exclude","Meditation programs for psychological stress and well-being: a systematic review and meta-analysis"
"The effectiveness of disease management programmes in reducing hospital re-admission in older patients with heart failure: a systematic review and meta-analysis of published reports","Exclude","","Exclude","The effectiveness of disease management programmes in reducing hospital re-admission in older patients with heart failure: a systematic review and meta-analysis of published reports"
"Electronic patient portals: evidence on health outcomes, satisfaction, efficiency, and attitudes: a systematic review","Exclude","","Exclude","Electronic patient portals: evidence on health outcomes, satisfaction, efficiency, and attitudes: a systematic review"
"Duloxetine in acute major depression: review of comparisons to placebo and standard antidepressants using dissimilar methods","Exclude","","Exclude","Duloxetine in acute major depression: review of comparisons to placebo and standard antidepressants using dissimilar methods"
"Continuous positive airways pressure for obstructive sleep apnoea in adults","Exclude","",,
"Safety of bevacizumab in patients with advanced cancer: a meta-analysis of randomized controlled trials","Exclude","","Exclude","Safety of bevacizumab in patients with advanced cancer: a meta-analysis of randomized controlled trials"
"The effectiveness and cost-effectiveness of carmustine implants and temozolomide for the treatment of newly diagnosed high-grade glioma: a systematic review and economic evaluation","Exclude","","Exclude","The effectiveness and cost-effectiveness of carmustine implants and temozolomide for the treatment of newly diagnosed high-grade glioma: a systematic review and economic evaluation"
"Proteinuria and reduced kidney function in living kidney donors: a systematic review, meta-analysis, and meta-regression","Exclude","","Exclude","Proteinuria and reduced kidney function in living kidney donors: a systematic review, meta-analysis, and meta-regression"
"Systematic review of the clinical efficacy of sibutramine and orlistat in weight loss, quality of life and its adverse effects in obese adolescents","Exclude","","Exclude","Systematic review of the clinical efficacy of sibutramine and orlistat in weight loss, quality of life and its adverse effects in obese adolescents"
"Community-based interventions to reduce overweight and obesity in China: a systematic review of the Chinese and English literature","Exclude","","Exclude","Community-based interventions to reduce overweight and obesity in China: a systematic review of the Chinese and English literature"
"Meta-analysis of methylprednisolone pulse therapy for Graves' ophthalmopathy","Exclude","","Exclude","Meta-analysis of methylprednisolone pulse therapy for Graves' ophthalmopathy"
"Risk/benefit profile of bevacizumab in metastatic colon cancer: a systematic review and meta-analysis","Exclude","","Exclude","Risk/benefit profile of bevacizumab in metastatic colon cancer: a systematic review and meta-analysis"
"Aprotinin and the risk of death and renal dysfunction in patients undergoing cardiac surgery: a meta-analysis of epidemiologic studies","Exclude","","Exclude","Aprotinin and the risk of death and renal dysfunction in patients undergoing cardiac surgery: a meta-analysis of epidemiologic studies"
"Benefit of combination beta-blocker and endoscopic treatment to prevent variceal rebleeding: a meta-analysis","Exclude","","Exclude","Benefit of combination beta-blocker and endoscopic treatment to prevent variceal rebleeding: a meta-analysis"
"Meta-analysis: beta-blockers versus banding ligation for primary prophylaxis of esophageal variceal bleeding","Exclude","","Exclude","Meta-analysis: beta-blockers versus banding ligation for primary prophylaxis of esophageal variceal bleeding"
"Efficacy of ACE inhibitors in chronic heart failure with preserved ejection fraction: a meta analysis of 7 prospective clinical studies","Exclude","","Exclude","Efficacy of ACE inhibitors in chronic heart failure with preserved ejection fraction: a meta analysis of 7 prospective clinical studies"
"The effectiveness of mobile-health technology-based health behaviour change or disease management interventions for health care consumers: a systematic review","Exclude","","Exclude","The effectiveness of mobile-health technology-based health behaviour change or disease management interventions for health care consumers: a systematic review"
"Effect of homocysteine lowering treatment on cognitive function: a systematic review and meta-analysis of randomized controlled trials","Exclude","","Exclude","Effect of homocysteine lowering treatment on cognitive function: a systematic review and meta-analysis of randomized controlled trials"
"The role of lay health advisors in cardiovascular risk reduction: a review","Exclude","","Exclude","The role of lay health advisors in cardiovascular risk reduction: a review"
"Primary care screening for abdominal aortic aneurysm","Exclude","","Exclude","Primary care screening for abdominal aortic aneurysm"
"Behavior change interventions delivered by mobile telephone short-message service","Exclude","","Exclude","Behavior change interventions delivered by mobile telephone short-message service"
"Lowering blood pressure to prevent stroke recurrence: a systematic review of long-term randomized trials","Exclude","","Exclude","Lowering blood pressure to prevent stroke recurrence: a systematic review of long-term randomized trials"
"Effect of continuous positive airway pressure (CPAP) on blood pressure in patients with obstructive sleep apnea/hypopnea. a systematic review and meta-analysis","Exclude","","Exclude","EFFECT OF CONTINUOUS POSITIVE AIRWAY PRESSURE (CPAP) ON BLOOD PRESSURE IN PATIENTS WITH OBSTRUCTIVE SLEEP APNEA/HYPOPNEA. A SYSTEMATIC REVIEW AND META-ANALYSIS"
"Statin therapy and atrial fibrillation: systematic review and updated meta-analysis of published randomized controlled trials","Exclude","","Exclude","Statin therapy and atrial fibrillation: systematic review and updated meta-analysis of published randomized controlled trials"
"Effectiveness and safety of neuraminidase inhibitors in reducing influenza complications: a meta-analysis of randomized controlled trials","Exclude","","Exclude","Effectiveness and safety of neuraminidase inhibitors in reducing influenza complications: a meta-analysis of randomized controlled trials"
"Anticoagulation therapy versus placebo for pulmonary hypertension","Exclude","",,
"Diabetes and cardiovascular disease interventions by community pharmacists: a systematic review","Exclude","","Exclude","Diabetes and cardiovascular disease interventions by community pharmacists: a systematic review"
"Chronic kidney disease after hematopoietic cell transplantation: a systematic review","Exclude","","Exclude","Chronic kidney disease after hematopoietic cell transplantation: a systematic review"
"Diagnostic accuracy of level 3 portable sleep tests versus level 1 polysomnography for sleep-disordered breathing: a systematic review and meta-analysis","Exclude","","Exclude","Diagnostic accuracy of level 3 portable sleep tests versus level 1 polysomnography for sleep-disordered breathing: a systematic review and meta-analysis"
"An update on aspirin in the primary prevention of cardiovascular disease","Exclude","","Exclude","An update on aspirin in the primary prevention of cardiovascular disease"
"Carotid artery stenting versus carotid endarterectomy: a comprehensive meta-analysis of short-term and long-term outcomes","Exclude","","Exclude","Carotid artery stenting versus carotid endarterectomy: a comprehensive meta-analysis of short-term and long-term outcomes"
"Effect of preprocedural statin use on procedural myocardial infarction and major cardiac adverse events in percutaneous coronary intervention: a meta-analysis","Exclude","","Exclude","Effect of preprocedural statin use on procedural myocardial infarction and major cardiac adverse events in percutaneous coronary intervention: a meta-analysis"
"Predictors of hospitalisations for heart failure and mortality in patients with pulmonary hypertension associated with left heart disease: a systematic review","Exclude","","Exclude","Predictors of hospitalisations for heart failure and mortality in patients with pulmonary hypertension associated with left heart disease: a systematic review"
"Improving general medical care for persons with mental and addictive disorders: systematic review","Exclude","","Exclude","Improving general medical care for persons with mental and addictive disorders: systematic review"
"Systematic review of long-term weight loss studies in obese adults: clinical significance and applicability to clinical practice","Exclude","","Exclude","Systematic review of long-term weight loss studies in obese adults: clinical significance and applicability to clinical practice"
"Usefulness of statins pretreatment for the prevention of postoperative atrial fibrillation in patients undergoing cardiac surgery","Exclude","","Exclude","Usefulness of statins pretreatment for the prevention of postoperative atrial fibrillation in patients undergoing cardiac surgery"
"Behavioural interventions for obese adults with additional risk factors for morbidity: systematic review of effects on behaviour, weight and disease risk factors","Exclude","",,
"Novel oral anticoagulants in atrial fibrillation: a meta-analysis of large, randomized, controlled trials vs warfarin","Exclude","","Exclude","Novel oral anticoagulants in atrial fibrillation: a meta-analysis of large, randomized, controlled trials vs warfarin"
"Visit-to-visit variability of blood pressure and cardiovascular disease and all-cause mortality: a systematic review and meta-analysis","Exclude","","Exclude","Visit-to-visit variability of blood pressure and cardiovascular disease and all-cause mortality: a systematic review and meta-analysis"
"Appropriateness of the indication for upper endoscopy: a meta-analysis","Exclude","","Exclude","Appropriateness of the indication for upper endoscopy: a meta-analysis"
"Validity of electron beam computed tomography for coronary artery disease: a systematic review and meta-analysis","Exclude","","Exclude","Validity of electron beam computed tomography for coronary artery disease: a systematic review and meta-analysis"
"Potassium intake, stroke, and cardiovascular disease: a meta-analysis of prospective studies","Exclude","","Exclude","Potassium intake, stroke, and cardiovascular disease: a meta-analysis of prospective studies"
"The relative efficacy of adenosine versus verapamil for the treatment of stable paroxysmal supraventricular tachycardia in adults: a meta-analysis","Exclude","","Exclude","The relative efficacy of adenosine versus verapamil for the treatment of stable paroxysmal supraventricular tachycardia in adults: a meta-analysis"
"Primary prevention of major cardiovascular and cerebrovascular events with statins in diabetic patients: a meta-analysis","Exclude","","Exclude","Primary prevention of major cardiovascular and cerebrovascular events with statins in diabetic patients: a meta-analysis"
"Drug-eluting vs bare-metal stents in primary angioplasty: a pooled patient-level meta-analysis of randomized trials","Exclude","","Exclude","Drug-eluting vs bare-metal stents in primary angioplasty: a pooled patient-level meta-analysis of randomized trials"
"Early glycoprotein IIb-IIIa inhibitors in primary angioplasty-abciximab long-term results (EGYPT-ALT) cooperation: individual patient's data meta-analysis","Exclude","","Exclude","Early glycoprotein IIb-IIIa inhibitors in primary angioplasty-abciximab long-term results (EGYPT-ALT) cooperation: individual patient's data meta-analysis"
"Cholesterol-lowering interventions and stroke: insights from a meta-analysis of randomized controlled trials","Exclude","","Exclude","Cholesterol-lowering interventions and stroke: insights from a meta-analysis of randomized controlled trials"
"Cardiovascular health disparities: a systematic review of health care interventions","Exclude","","Exclude","Cardiovascular health disparities: a systematic review of health care interventions"
"Temporary atrial epicardial pacing as prophylaxis against atrial fibrillation after heart surgery: a meta-analysis","Exclude","","Exclude","Temporary atrial epicardial pacing as prophylaxis against atrial fibrillation after heart surgery: a meta-analysis"
"Meta-analysis: the effect of dietary counseling for weight loss","Exclude","","Exclude","Meta-analysis: the effect of dietary counseling for weight loss"
"Role of nonsteroidal anti-inflammatory drugs in the prevention of post-ERCP pancreatitis: a meta-analysis","Exclude","","Exclude","Role of nonsteroidal anti-inflammatory drugs in the prevention of post-ERCP pancreatitis: a meta-analysis"
"Mortality after catheter ablation for atrial fibrillation compared with antiarrhythmic drug therapy: a meta-analysis of randomized trials","Exclude","","Exclude","Mortality after catheter ablation for atrial fibrillation compared with antiarrhythmic drug therapy: a meta-analysis of randomized trials"
"What is the value of routinely testing full blood count, electrolytes and urea, and pulmonary function tests before elective surgery in patients with no apparent clinical indication and in subgroups of patients with common comorbidities: a systematic review of the clinical and cost-effective literature","Exclude","",,
"Effects of bariatric surgery on cardiac structure and function: a systematic review and meta-analysis","Exclude","","Exclude","Effects of bariatric surgery on cardiac structure and function: a systematic review and meta-analysis"
"Magnitude of risks and benefits of the addition of bevacizumab to chemotherapy for advanced breast cancer patients: meta-regression analysis of randomized trials","Exclude","","Exclude","Magnitude of risks and benefits of the addition of bevacizumab to chemotherapy for advanced breast cancer patients: meta-regression analysis of randomized trials"
"Adverse events risk associated with bevacizumab addition to breast cancer chemotherapy: a meta-analysis","Exclude","","Exclude","Adverse events risk associated with bevacizumab addition to breast cancer chemotherapy: a meta-analysis"
"Do fixed-dose combination pills or unit-of-use packaging improve adherence: a systematic review","Exclude","","Exclude","Do fixed-dose combination pills or unit-of-use packaging improve adherence: a systematic review"
"Benefits of antithrombotic therapy after infrainguinal bypass grafting: a meta-analysis","Exclude","","Exclude","Benefits of antithrombotic therapy after infrainguinal bypass grafting: a meta-analysis"
"Dosing frequency and medication adherence in chronic disease","Exclude","","Exclude","Dosing frequency and medication adherence in chronic disease"
"The effect of ketamine on intracranial and cerebral perfusion pressure and health outcomes: a systematic review","Exclude","",,
"Complex interventions to improve the health of people with limited literacy: a systematic review","Exclude","","Exclude","Complex interventions to improve the health of people with limited literacy: a systematic review"
"Risk of arterial thromboembolic events with sunitinib and sorafenib: a systematic review and meta-analysis of clinical trials","Exclude","","Exclude","Risk of arterial thromboembolic events with sunitinib and sorafenib: a systematic review and meta-analysis of clinical trials"
"Congestive heart failure risk in patients with breast cancer treated with bevacizumab","Exclude","","Exclude","Congestive heart failure risk in patients with breast cancer treated with bevacizumab"
"Acupuncture for obesity: a systematic review and meta-analysis","Exclude","",,
"US pharmacists' effect as team members on patient care: systematic review and meta-analyses","Exclude","","Exclude","US pharmacists' effect as team members on patient care: systematic review and meta-analyses"
"Meta-analysis of large randomized controlled trials to evaluate the impact of statins on cardiovascular outcomes","Exclude","","Exclude","Meta-analysis of large randomized controlled trials to evaluate the impact of statins on cardiovascular outcomes"
"Percutaneous left ventricular assist devices vs intra-aortic balloon pump counterpulsation for treatment of cardiogenic shock: a meta-analysis of controlled trials","Exclude","","Exclude","Percutaneous left ventricular assist devices vs intra-aortic balloon pump counterpulsation for treatment of cardiogenic shock: a meta-analysis of controlled trials"
"Efficacy and safety of glucocorticoids therapy for IgA nephropathy: a meta-analysis of randomized controlled trials","Exclude","","Exclude","Efficacy and safety of glucocorticoids therapy for IgA nephropathy: a meta-analysis of randomized controlled trials"
"ACEI/ARB therapy for IgA nephropathy: a meta analysis of randomised controlled trials","Exclude","","Exclude","ACEI/ARB therapy for IgA nephropathy: a meta analysis of randomised controlled trials"
"Effect of angiotensin-converting enzyme inhibitors and angiotensin II receptor blockers on all-cause mortality, cardiovascular deaths, and cardiovascular events in patients with diabetes mellitus: a meta-analysis","Exclude","","Exclude","Effect of angiotensin-converting enzyme inhibitors and angiotensin II receptor blockers on all-cause mortality, cardiovascular deaths, and cardiovascular events in patients with diabetes mellitus: a meta-analysis"
"Statins for primary prevention of cardiovascular and cerebrovascular events in diabetic patients without established cardiovascular diseases: a meta-analysis","Exclude","","Exclude","Statins for primary prevention of cardiovascular and cerebrovascular events in diabetic patients without established cardiovascular diseases: a meta-analysis"
"Should rhythm control be preferred in younger atrial fibrillation patients?","Exclude","","Exclude","Should rhythm control be preferred in younger atrial fibrillation patients?"
"Meta-analysis of natural therapies for hyperlipidemia: plant sterols and stanols versus policosanol","Exclude","","Exclude","Meta-analysis of natural therapies for hyperlipidemia: plant sterols and stanols versus policosanol"
"Risk of stroke in women exposed to low-dose oral contraceptives","Exclude","",,
"Evidence-based strategies for implementing guidelines in obstetrics: a systematic review","Exclude","",,
"Antiproteinuric response to dual blockade of the renin-angiotensin system in primary glomerulonephritis: meta-analysis and metaregression","Exclude","","Exclude","Antiproteinuric response to dual blockade of the renin-angiotensin system in primary glomerulonephritis: meta-analysis and metaregression"
"Long-term randomized clinical trials of pharmacological treatment of obesity: systematic review","Exclude","","Exclude","Long-term randomized clinical trials of pharmacological treatment of obesity: systematic review"
"A meta-analysis of randomized controlled trials comparing chemotherapy plus bevacizumab with chemotherapy alone in metastatic colorectal cancer","Exclude","","Exclude","A meta-analysis of randomized controlled trials comparing chemotherapy plus bevacizumab with chemotherapy alone in metastatic colorectal cancer"
"Oral anticoagulation for pulmonary arterial hypertension: systematic review and meta-analysis","Exclude","","Exclude","Oral Anticoagulation for Pulmonary Arterial Hypertension: Systematic Review and Meta-analysis"
"Tolerability of angiotensin-receptor blockers in patients with intolerance to angiotensin-converting enzyme inhibitors: a systematic review and meta-analysis","Exclude","","Exclude","Tolerability of angiotensin-receptor blockers in patients with intolerance to angiotensin-converting enzyme inhibitors: a systematic review and meta-analysis"
"Is low-dose haloperidol a useful antiemetic: a meta-analysis of published and unpublished randomized trials","Exclude","","Exclude","Is low-dose haloperidol a useful antiemetic: a meta-analysis of published and unpublished randomized trials"
"Statins for primary prevention of cardiovascular mortality in women: a systematic review and meta-analysis","Exclude","","Exclude","Statins for primary prevention of cardiovascular mortality in women: a systematic review and meta-analysis"
"Systematic review of the effects of ginseng on cardiovascular risk factors","Exclude","","Exclude","Systematic review of the effects of ginseng on cardiovascular risk factors"
"Trends in mortality in bariatric surgery: a systematic review and meta-analysis","Exclude","","Exclude","Trends in mortality in bariatric surgery: a systematic review and meta-analysis"
